City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-0.46,86,92,7.49,GS,1694970049
1,katsuura,35.1333,140.3,26.23,88,4,5.94,JP,1694970050
2,yellowknife,62.456,-114.3525,13.56,88,99,5.36,CA,1694970050
3,port-aux-francais,-49.35,70.2167,5.48,97,100,13.11,TF,1694970051
4,west island,-12.1568,96.8225,24.99,83,100,7.72,CC,1694970051
5,alice springs,-23.7,133.8833,14.75,26,0,0.0,AU,1694969919
6,trincomalee,8.5711,81.2335,28.04,72,100,5.64,LK,1694969757
7,tiksi,71.6872,128.8694,-0.54,89,99,4.0,RU,1694970051
8,peace river,56.2501,-117.286,19.52,34,25,4.98,CA,1694970052
9,iqaluit,63.7506,-68.5145,1.5,64,8,3.58,CA,1694970052
10,puerto natales,-51.7236,-72.4875,4.58,51,11,2.67,CL,1694970053
11,ilulissat,69.2167,-51.1,2.01,80,75,2.57,GL,1694970053
12,coquimbo,-29.9533,-71.3436,16.52,71,62,4.44,CL,1694970053
13,st. john's,47.5649,-52.7093,25.64,84,88,1.34,CA,1694970053
14,kodiak,57.79,-152.4072,7.83,66,82,13.89,US,1694970053
15,el granada,37.5027,-122.4694,22.17,77,75,4.12,US,1694970054
16,waitangi,-43.9535,-176.5597,9.34,93,78,6.26,NZ,1694970054
17,san rafael del sur,11.8485,-86.4384,32.86,51,61,5.46,NI,1694970054
18,tazacorte,28.629,-17.9293,24.54,76,40,5.14,ES,1694970054
19,kyshtovka,56.555,76.6271,13.04,78,98,0.63,RU,1694970055
20,capitan bado,-23.2667,-55.5333,35.48,25,0,7.35,PY,1694970055
21,avarua,-21.2078,-159.775,21.03,83,75,1.54,CK,1694970055
22,margaret river,-33.95,115.0667,13.32,64,86,5.11,AU,1694970055
23,edinburgh of the seven seas,-37.0676,-12.3116,12.76,83,63,8.36,SH,1694970056
24,klyuchi,52.2667,79.1667,14.3,70,54,1.96,RU,1694970056
25,qaqortoq,60.7167,-46.0333,4.73,42,0,1.25,GL,1694970057
26,invercargill,-46.4,168.35,8.34,86,91,9.39,NZ,1694969899
27,isafjordur,66.0755,-23.124,9.32,75,19,4.57,IS,1694970057
28,port mathurin,-19.6833,63.4167,22.93,78,44,10.3,MU,1694970057
29,adamstown,-25.066,-130.1015,19.0,64,99,5.27,PN,1694970058
30,kiunga,-6.1219,141.2906,19.47,96,42,1.56,PG,1694970058
31,nuuk,64.1835,-51.7216,3.34,70,20,3.6,GL,1694970058
32,iskateley,67.6803,53.1512,4.77,80,10,3.3,RU,1694970058
33,barra de santo antonio,-9.4047,-35.5072,25.6,71,14,5.17,BR,1694970059
34,al fulah,11.7329,28.3579,30.69,48,55,4.29,SD,1694970059
35,anadyr,64.75,177.4833,-0.72,93,20,3.0,RU,1694970063
36,lebu,-37.6167,-73.65,9.73,62,4,5.39,CL,1694970064
37,saint-pierre,-21.3393,55.4781,22.82,73,75,1.03,RE,1694970064
38,blackmans bay,-43.0167,147.3167,8.18,69,56,2.73,AU,1694970064
39,jamestown,42.097,-79.2353,21.37,53,100,0.89,US,1694970065
